comment,likes,replies,date,timestamp,seconds,clean_comment,weight,label,confidence,sentiment_score,segment
@45:55 yea and guess what they did when Xi Jinping came to San Francisco they cleaned that shit whole up for a foreign power.,2,1,08/21/2024,45:55,2755,@ yea and guess what they did when xi jinping came to san francisco they cleaned that shit whole up for a foreign power.,7,negative,0.8,-1,91
"1:18:47 Tucker in one breath “Jon Stewart is partisan”
*next breath* “I haven’t followed his career at all”

If he watched his speech to congress over 9/11 first responders alone, he’d say he’s not partisan",2,1,02/27/2024,1:18:47,4727,"tucker in one breath “jon stewart is partisan” *next breath* “i haven’t followed his career at all” if he watched his speech to congress over 9/11 first responders alone, he’d say he’s not partisan",7,negative,0.61,-1,157
2:49:13 - This guy is really... something. This is just wrong. No atheist believes they are gods.,2,1,02/29/2024,2:49:13,10153,- this guy is really... something. this is just wrong. no atheist believes they are gods.,7,negative,0.93,-1,338
"1:40:01 He turned back to Nato in 2008 himself, before invading Georgia.",2,1,02/29/2024,1:40:01,6001,"he turned back to nato in 2008 himself, before invading georgia.",7,neutral,0.92,0,200
"42:10 Moscow is absolutely not the same as rest of Russia, being blended by shiny Moscow doesn’t show the prosperity the rest of the country is dying from",2,1,02/28/2024,42:10,2530,"moscow is absolutely not the same as rest of russia, being blended by shiny moscow doesn’t show the prosperity the rest of the country is dying from",7,negative,0.9,-1,84
"Hey 1:28:00 there are Nazi's in The Ukraine, they were 10% of the Midan Revolution according to their own words. Look up Azov Battalion and Right Sector. They have roots in the separatist movements of The Ukraine during WW2. They are LITERAL Nazi's. I'm shocked and confused that these two just shrug it off. They should honestly know about what happened in 2014 before talking about this subject.",2,1,02/28/2024,1:28:00,5280,"hey there are nazi's in the ukraine, they were 10% of the midan revolution according to their own words. look up azov battalion and right sector. they have roots in the separatist movements of the ukraine during ww2. they are literal nazi's. i'm shocked and confused that these two just shrug it off. they should honestly know about what happened in 2014 before talking about this subject.",7,negative,0.87,-1,176
1:29:15 Have you forgotten Canada parliament where Zelenskyy as well as western leaders applaud a real Nazi?,0,2,02/28/2024,1:29:15,5355,have you forgotten canada parliament where zelenskyy as well as western leaders applaud a real nazi?,6,negative,0.79,-1,178
2:06 Thats my boy!,0,2,02/28/2024,2:06,126,thats my boy!,6,positive,0.98,1,4
"50:46 i have to admit i didn’t think of it like this, i was actually kind of upset with what i perceived as a glorification of russia, but hearing Tucker explain himself in this way really opened my mind, we really do need to demand more from from our government to make this country safe and liveable",3,0,02/29/2024,50:46,3046,"i have to admit i didn’t think of it like this, i was actually kind of upset with what i perceived as a glorification of russia, but hearing tucker explain himself in this way really opened my mind, we really do need to demand more from from our government to make this country safe and liveable",6,negative,0.63,-1,101
"1:43:20 people who studied at the same universities, who live in the same communities, they think alike, they act alike, they DON'T need to conspire.",3,0,02/29/2024,1:43:20,6200,"people who studied at the same universities, who live in the same communities, they think alike, they act alike, they don't need to conspire.",6,neutral,0.77,0,206
"1:04:25 - 61 for Ukraine? 
Did they pull a random number or something? 
People in Ukraine cannot criticize their government because they don't want to be in jail or even tortured to death by neo-nazi groups the West does not like to speak about.",0,2,03/12/2024,1:04:25,3865,- 61 for ukraine? did they pull a random number or something? people in ukraine cannot criticize their government because they don't want to be in jail or even tortured to death by neo-nazi groups the west does not like to speak about.,6,negative,0.86,-1,128
"39:00 - ""it's about finding where on the spectrum they are..."" no, lex, it's about creating systems wherein no power-hungry jackasses who want to ""lead"" anyone for any reason can gain more power than over their local homeowners association no matter how hard they try or how many resources they have.",3,0,03/03/2024,39:00,2340,"- ""it's about finding where on the spectrum they are..."" no, lex, it's about creating systems wherein no power-hungry jackasses who want to ""lead"" anyone for any reason can gain more power than over their local homeowners association no matter how hard they try or how many resources they have.",6,neutral,0.53,0,78
"1:42:57 Putin was prepearing for the war since october 2021. So words, that was sayed by Biden in february 2022, was not have any matters.",0,2,02/29/2024,1:42:57,6177,"putin was prepearing for the war since october 2021. so words, that was sayed by biden in february 2022, was not have any matters.",6,neutral,0.53,0,205
"1:45:10 it was hard enough keeping a daycare open throughout chemotherapy, I can't IMAGINE having to have had to (English is so weird) defend a country.",0,2,03/01/2024,1:45:10,6310,"it was hard enough keeping a daycare open throughout chemotherapy, i can't imagine having to have had to (english is so weird) defend a country.",6,negative,0.9,-1,210
"@1:25:35 It's a joke Lex, if you are surmising your opinion on what you see via 'news'.  You don't see the puppet master(s) or the strings above society?",3,0,03/01/2024,1:25:35,5135,"@ it's a joke lex, if you are surmising your opinion on what you see via 'news'. you don't see the puppet master(s) or the strings above society?",6,negative,0.63,-1,171
"1:23:32 George w bush didn’t leave Washington after the 9/11 attacks. He was in Florida during the attacks and was begging to go back to Washington, but secret service kept moving him to different Air Force bases, none of which were in South Dakota. This is WELL documented. I was actually shocked to hear Tucker say otherwise. It makes me question everything else he says",3,0,02/28/2024,1:23:32,5012,"george w bush didn’t leave washington after the 9/11 attacks. he was in florida during the attacks and was begging to go back to washington, but secret service kept moving him to different air force bases, none of which were in south dakota. this is well documented. i was actually shocked to hear tucker say otherwise. it makes me question everything else he says",6,negative,0.56,-1,167
Got to 10:38 and had to stop listening,0,2,02/28/2024,10:38,638,got to and had to stop listening,6,neutral,0.54,0,21
At 23:00 Tucker espouses how we should always proceed on the basis of truth...  with absolutely ZERO pushback from Lex over the FACT Tucker was fired from FOXNEWS for spreading the BS election fraud and rigged voter machines from Dominion.  Lex is giving the same glazing service in this interview to Tucker as  Tucker  did for Putin.  WTF is wrong with these wannabee nazis?,0,2,03/02/2024,23:00,1380,at tucker espouses how we should always proceed on the basis of truth... with absolutely zero pushback from lex over the fact tucker was fired from foxnews for spreading the bs election fraud and rigged voter machines from dominion. lex is giving the same glazing service in this interview to tucker as tucker did for putin. wtf is wrong with these wannabee nazis?,6,negative,0.59,-1,46
"2:03:45, Tucker says life expenctancy, reproductive rates and sobriety are the indicators for the health of society. The US is beating Russia on all three, so what's with all the fawning over Russia? It's almost like he doesn't have a coherent worldview.",3,0,03/02/2024,2:03:45,7425,", tucker says life expenctancy, reproductive rates and sobriety are the indicators for the health of society. the us is beating russia on all three, so what's with all the fawning over russia? it's almost like he doesn't have a coherent worldview.",6,neutral,0.49,0,247
"07:55 голоде на украине? Такер очень хорошо изучал историю России/СССР .... видно у каких учителей. 
И Сталин принимал решение об убийстве собственного населения? Формулировки из антисовесткой пропаганды а не истории.",0,2,03/06/2024,07:55,475,голоде на украине? такер очень хорошо изучал историю россии/ссср .... видно у каких учителей. и сталин принимал решение об убийстве собственного населения? формулировки из антисовесткой пропаганды а не истории.,6,neutral,0.85,0,15
"thank you for the quote in a 24:37 and i agree with you, why he said that is the million dollar question, I would ask him if I had the chance :)",3,0,03/06/2024,24:37,1477,"thank you for the quote in a and i agree with you, why he said that is the million dollar question, i would ask him if i had the chance :)",6,positive,0.9,1,49
"43:45 How about rent, job possibilities, childcare, cultural offers... He lists Cleanliness, safety and beauty and then complains about parameters you cant measure?",0,2,03/07/2024,43:45,2625,"how about rent, job possibilities, childcare, cultural offers... he lists cleanliness, safety and beauty and then complains about parameters you cant measure?",6,negative,0.6,-1,87
"2:05:14  We don't distrust science, Lex.  We distrust the lying scientists.  Big difference.",3,0,03/06/2024,2:05:14,7514,"we don't distrust science, lex. we distrust the lying scientists. big difference.",6,neutral,0.54,0,250
"Tucker says @ 1:41:40 that Russia doesn't want nukes on their Western border, yet they have nukes inside of continental Europe in the province of Kaliningrad. Tucker is a tool.",3,0,03/04/2024,1:41:40,6100,"tucker says @ that russia doesn't want nukes on their western border, yet they have nukes inside of continental europe in the province of kaliningrad. tucker is a tool.",6,negative,0.86,-1,203
"22:10, 22:41 is this an apology to Noam Chomsky?",0,2,03/04/2024,22:10,1330,", is this an apology to noam chomsky?",6,neutral,0.88,0,44
So who is the whacko MIT professor he’s talking about? 22:39,0,2,02/28/2024,22:39,1359,so who is the whacko mit professor he’s talking about?,6,neutral,0.51,0,45
"25:00-25:20 *sweeping generalizations in either direction are not valid, Tuck* 

They are the highest population of alcoholics so yeah; idk how deep of thinkers they can all be when that is a thing that has zero receptors to even interact with in our bodies but instead p0is0ns to give effect 😂 good ole alchie-hol",0,2,02/27/2024,25:00,1500,"- *sweeping generalizations in either direction are not valid, tuck* they are the highest population of alcoholics so yeah; idk how deep of thinkers they can all be when that is a thing that has zero receptors to even interact with in our bodies but instead p0is0ns to give effect 😂 good ole alchie-hol",6,negative,0.67,-1,50
"I think Lex needs to get someone like Jamie to check the facts the guests are stating. I am at the 2:06:00 and Tucker is just spitting the nonsense that life expectancy is dropping. It's such a simple fact to check and call him on his bulshit. I am all for letting someone getting their point across without being interrupted, but he is just inventing stupid facts to fit his narrative.",0,2,03/02/2024,2:06:00,7560,"i think lex needs to get someone like jamie to check the facts the guests are stating. i am at the and tucker is just spitting the nonsense that life expectancy is dropping. it's such a simple fact to check and call him on his bulshit. i am all for letting someone getting their point across without being interrupted, but he is just inventing stupid facts to fit his narrative.",6,negative,0.78,-1,252
"2:53:34 - Advice for young people
Thanks Lex💙",0,2,02/28/2024,2:53:34,10414,- advice for young people thanks lex💙,6,positive,0.93,1,347
"1:51:00 re language barrier, I had to watch that interview twice in both languages just so I get the message correctly. It makes a HUgE difference when you get it in translation …",0,2,03/01/2024,1:51:00,6660,"re language barrier, i had to watch that interview twice in both languages just so i get the message correctly. it makes a huge difference when you get it in translation …",6,positive,0.65,1,222
"50:30 yes it is freedom, even evil is free to do what they want. thats what you get by definition. but you need 'freedom' with limitation where bad behaviour is punished",3,0,03/01/2024,50:30,3030,"yes it is freedom, even evil is free to do what they want. thats what you get by definition. but you need 'freedom' with limitation where bad behaviour is punished",6,neutral,0.6,0,101
"45:41 You're right. If you live in a country ruled by a dictator, you respect the country, yourself and others and don't throw garbage on the  street. In a country ruled by a dictator, there is money to clean the streets and build beautiful buildings.",0,2,02/29/2024,45:41,2741,"you're right. if you live in a country ruled by a dictator, you respect the country, yourself and others and don't throw garbage on the street. in a country ruled by a dictator, there is money to clean the streets and build beautiful buildings.",6,neutral,0.54,0,91
At 1:43:51 you began to comment on “the hive mind” ..I assume you mean a honey bee hive ..well as a bee keeper the hive or colony as we refer to it is very complex ..and does not make as you put it …the worst decisions with a bunch of people with the same views ..the colony is not ruled by a queen …in fact the “people “ in the colony will get rid of the queen when she declines ..awe hell way to much to type but u get my drift,0,2,03/01/2024,1:43:51,6231,at you began to comment on “the hive mind” ..i assume you mean a honey bee hive ..well as a bee keeper the hive or colony as we refer to it is very complex ..and does not make as you put it …the worst decisions with a bunch of people with the same views ..the colony is not ruled by a queen …in fact the “people “ in the colony will get rid of the queen when she declines ..awe hell way to much to type but u get my drift,6,negative,0.58,-1,207
"1:53:29 my mom spoke German and Croatian to me as a baby, so to me Slavic sounds are soothing even if I don't understand.",0,2,03/01/2024,1:53:29,6809,"my mom spoke german and croatian to me as a baby, so to me slavic sounds are soothing even if i don't understand.",6,positive,0.64,1,226
"59:54 Come on Tucker Carlson. It is not true, that russians themselves are mainly portrait as ""evil"" in the west, because of their blood. It is clearly Putin the dictator who is called ""evil"". That is quite disgusting and dishonest of Tucker Carlson to claim, that the people or even the majority of media in the west says that russian people are ""evil"" because of their blood.",3,0,03/01/2024,59:54,3594,"come on tucker carlson. it is not true, that russians themselves are mainly portrait as ""evil"" in the west, because of their blood. it is clearly putin the dictator who is called ""evil"". that is quite disgusting and dishonest of tucker carlson to claim, that the people or even the majority of media in the west says that russian people are ""evil"" because of their blood.",6,negative,0.89,-1,119
2:14:40 might just be my favorite Tucker quote of all time😂😂😂,3,0,02/28/2024,2:14:40,8080,might just be my favorite tucker quote of all time😂😂😂,6,positive,0.92,1,269
"5:45 ""A tiredsome russian history greatest hits""? Look Lex Fridman I really tried to listen to this with no preconceptions of any kind even knowing what kind of character Tucker Carlson showed us to be all this years, but going right off the start with bulshit is asking a bit too much. Putin has dealt with many idiots before, why would he be nervous about an interview with Tucker Carlson? And man, all that intro sounded a wierd justification of some kind.",3,0,02/28/2024,5:45,345,"""a tiredsome russian history greatest hits""? look lex fridman i really tried to listen to this with no preconceptions of any kind even knowing what kind of character tucker carlson showed us to be all this years, but going right off the start with bulshit is asking a bit too much. putin has dealt with many idiots before, why would he be nervous about an interview with tucker carlson? and man, all that intro sounded a wierd justification of some kind.",6,negative,0.71,-1,11
"""Maybe I'm just like, unusually ignorant"" - Tuker Carlson, I have to agree with you on this one 😂 (time stamp 2:03:08 )",3,0,04/23/2024,2:03:08,7388,"""maybe i'm just like, unusually ignorant"" - tuker carlson, i have to agree with you on this one 😂 (time stamp )",6,neutral,0.56,0,246
1:15:38 twenty years ago you were twenty.,0,2,03/01/2024,1:15:38,4538,twenty years ago you were twenty.,6,neutral,0.83,0,151
22:06 How could they do this in a special regime colony located beyond the Arctic Circle? Just how? Any ideas?,0,2,02/29/2024,22:06,1326,how could they do this in a special regime colony located beyond the arctic circle? just how? any ideas?,6,negative,0.49,-1,44
"42:48 No graffiti, no homeless, no drugs in Moscow? That's funny. Did he actually go outside?",3,0,02/29/2024,42:48,2568,"no graffiti, no homeless, no drugs in moscow? that's funny. did he actually go outside?",6,neutral,0.47,0,85
Great conversation about the language of Russian (1:54:00). It helps to reinforce my very limited understanding of the language. I do not speak it. My mother always told me that Russians have a beautifully poetic and expressive language. I can only imagine what she meant; my curiosity has grown even more.,3,0,02/28/2024,1:54:00,6840,great conversation about the language of russian (). it helps to reinforce my very limited understanding of the language. i do not speak it. my mother always told me that russians have a beautifully poetic and expressive language. i can only imagine what she meant; my curiosity has grown even more.,6,positive,0.94,1,228
"44:29 
As a father of a 7 year old girl, this gave me chills. It’s not about what we think it’s about at all. How simple, and yet how powerful. 
Is this too much to ask?",3,0,02/28/2024,44:29,2669,"as a father of a 7 year old girl, this gave me chills. it’s not about what we think it’s about at all. how simple, and yet how powerful. is this too much to ask?",6,positive,0.94,1,88
"At 1:00:00:  ""Did he invade Ukraine? I don't think he did"". This phrase by tucker says all I need to know about tucker.",1,1,03/11/2024,1:00:00,3600,"at : ""did he invade ukraine? i don't think he did"". this phrase by tucker says all i need to know about tucker.",5,neutral,0.61,0,120
1:38:23 Дело в том что он каждую неделю ходит в качалку. И закаливается в холодной воде.,1,1,03/12/2024,1:38:23,5903,дело в том что он каждую неделю ходит в качалку. и закаливается в холодной воде.,5,neutral,0.83,0,196
"23:35 I would argue that Navalny is the ""most famous opposition outside of Russia"" instead of the ""most famous opposition inside Russia"". He gained 600k votes in his last elections.",1,1,02/28/2024,23:35,1415,"i would argue that navalny is the ""most famous opposition outside of russia"" instead of the ""most famous opposition inside russia"". he gained 600k votes in his last elections.",5,neutral,0.67,0,47
12:00 To be honest: the average person in the US don't even know where Ukraine and Russia are ... so saying they being lied to seems harsh when the average person in the US could look all the facts up by themself because no one is hiding them ...,1,1,02/29/2024,12:00,720,to be honest: the average person in the us don't even know where ukraine and russia are ... so saying they being lied to seems harsh when the average person in the us could look all the facts up by themself because no one is hiding them ...,5,negative,0.62,-1,24
"Lex, at 9:24 did you interject ""disinformation""?",1,1,02/27/2024,9:24,564,"lex, at did you interject ""disinformation""?",5,neutral,0.78,0,18
Is there a cut at 35:15 in audio? Why?,1,1,03/13/2024,35:15,2115,is there a cut at in audio? why?,5,neutral,0.83,0,70
"About 57:10 ""Hop on a Plane for 800 Bucks"" Unfortunately, to a lot of people that is SUPER Expensive Once you Factor in Time away from work and Food. Probably Lots of people here Could do it Including Myself, But if you took an Average Worker in the 7th Largest City (Or Below) of Most States I doubt it would Be ""Cheap""",1,1,02/28/2024,57:10,3430,"about ""hop on a plane for 800 bucks"" unfortunately, to a lot of people that is super expensive once you factor in time away from work and food. probably lots of people here could do it including myself, but if you took an average worker in the 7th largest city (or below) of most states i doubt it would be ""cheap""",5,negative,0.7,-1,114
"5:21 So he fears, that NATO will attack them, so instead goes for a country, that is not in the alliance? Yeah, absolutely, makes total sense...",1,1,03/01/2024,5:21,321,"so he fears, that nato will attack them, so instead goes for a country, that is not in the alliance? yeah, absolutely, makes total sense...",5,neutral,0.52,0,10
1:02:21 We dont have freedom of speech anymore TC.,1,1,02/28/2024,1:02:21,3741,we dont have freedom of speech anymore tc.,5,negative,0.87,-1,124
"1:29:00 you are wrong Tucker. Ukraine is permeated in na*ism. Hundreds of streets and statues dedicated to the bloodiest butchers. Ukrainians celebrate them as national heroes. You don't need to go there, just google in on the map.",1,1,03/01/2024,1:29:00,5340,"you are wrong tucker. ukraine is permeated in na*ism. hundreds of streets and statues dedicated to the bloodiest butchers. ukrainians celebrate them as national heroes. you don't need to go there, just google in on the map.",5,negative,0.73,-1,178
1:29:15 - Такер Карлсон про денацификацию и Путина,1,1,03/01/2024,1:29:15,5355,- такер карлсон про денацификацию и путина,5,neutral,0.84,0,178
2:41:32 that is NOT Rogan 😂😂,1,1,03/18/2024,2:41:32,9692,that is not rogan 😂😂,5,negative,0.69,-1,323
Can someone please explain to me why he hates black people so much 1:58:07 every time he mentions us it’s something negative,1,1,03/02/2024,1:58:07,7087,can someone please explain to me why he hates black people so much every time he mentions us it’s something negative,5,negative,0.87,-1,236
"14:49 that's not right , the only reason why the talks were abandoned can be explained with one simple word : Bucha.",1,1,02/29/2024,14:49,889,"that's not right , the only reason why the talks were abandoned can be explained with one simple word : bucha.",5,negative,0.92,-1,29
"@1:04:00 ish: Zelensky’s banned at least 11, primarily left-wing, news outlets/channels. Lmao at that high of a rating, total Langley garbage.",1,1,02/29/2024,1:04:00,3840,"@ ish: zelensky’s banned at least 11, primarily left-wing, news outlets/channels. lmao at that high of a rating, total langley garbage.",5,negative,0.93,-1,128
"Why did this dude Lex 1:01:18  just lie about Ukraine still being operatingnormally? Who's paying for the restaurants to be open, Who's paying for the supply train? What he just said pissed me off even more. We don't hear real casualties nu.bers from this great un corrupt free country we are paying for....",1,1,02/28/2024,1:01:18,3678,"why did this dude lex just lie about ukraine still being operatingnormally? who's paying for the restaurants to be open, who's paying for the supply train? what he just said pissed me off even more. we don't hear real casualties nu.bers from this great un corrupt free country we are paying for....",5,negative,0.93,-1,122
"At 17:51 the audio dropped out. No more audio for me. Checked everything, my cables, reboot, nothing fixed it. No audio after the word ""Navalny"" at 17:51.",1,1,04/06/2024,17:51,1071,"at the audio dropped out. no more audio for me. checked everything, my cables, reboot, nothing fixed it. no audio after the word ""navalny"" at .",5,negative,0.91,-1,35
1:39:43 Why would it? I guess it would be fine to return Crimea and eastern Ukraine to Ukraine then. They have so much land.,1,1,02/29/2024,1:39:43,5983,why would it? i guess it would be fine to return crimea and eastern ukraine to ukraine then. they have so much land.,5,neutral,0.79,0,199
1:15:19 Jon Stewart has spent the last 10 years campaigning for the 9/11 emergency workers to get adequate healthcare. He has been before the senate of both administrations railing against corrupt politicians. Lex just sits there and allows Tucker to lie and lie and lie…,1,1,02/29/2024,1:15:19,4519,jon stewart has spent the last 10 years campaigning for the 9/11 emergency workers to get adequate healthcare. he has been before the senate of both administrations railing against corrupt politicians. lex just sits there and allows tucker to lie and lie and lie…,5,neutral,0.53,0,150
2:25:23 100% agree with Tucker,1,1,02/29/2024,2:25:23,8723,100% agree with tucker,5,positive,0.71,1,290
52:55 Tucker is post-truth man or simply liar and hypocrite. Yandex is bigger monopoly in common meaning in Russia but otherwise after the war company is owned by closest people to Putin. I don't want to say about your country but what Tucker had been saying about Russia is totally bullshit,1,1,02/28/2024,52:55,3175,tucker is post-truth man or simply liar and hypocrite. yandex is bigger monopoly in common meaning in russia but otherwise after the war company is owned by closest people to putin. i don't want to say about your country but what tucker had been saying about russia is totally bullshit,5,negative,0.87,-1,105
"58:12 Интересно, кто построил красивую архитектуру в Киеве? Загадка.",1,1,03/09/2024,58:12,3492,"интересно, кто построил красивую архитектуру в киеве? загадка.",5,neutral,0.86,0,116
1:32:31 he means there are people in Ukraine who are actively creating bioweapons to eradicate whole bloodlines of people- they have a military that wears swastikas on their uniforms as well as the black sun,1,1,03/11/2024,1:32:31,5551,he means there are people in ukraine who are actively creating bioweapons to eradicate whole bloodlines of people- they have a military that wears swastikas on their uniforms as well as the black sun,5,negative,0.89,-1,185
"Go to the time stamp 2:14:31 to understand the basis of everything Tucker Carlson says. It's the reason he does whatever he wants, truth or lies, profit motive or personal belief...he's resigned to the idea that one way or the other we're going to self-destruct and there's no way to stop it.  Keep that in mind when you build your belief systems upon his words.",1,1,02/27/2024,2:14:31,8071,"go to the time stamp to understand the basis of everything tucker carlson says. it's the reason he does whatever he wants, truth or lies, profit motive or personal belief...he's resigned to the idea that one way or the other we're going to self-destruct and there's no way to stop it. keep that in mind when you build your belief systems upon his words.",5,negative,0.56,-1,269
50:14 why don’t we have that?  Becasue we don’t have a mono culture. We like in a multi culture; warring bands of people looting the vault for their own interests.,1,1,02/29/2024,50:14,3014,why don’t we have that? becasue we don’t have a mono culture. we like in a multi culture; warring bands of people looting the vault for their own interests.,5,negative,0.62,-1,100
"@2:50:02 ""he is guided by an ever-present knowledge of his limitations and of his power. "" Really incredible reflection about world leaders.",2,0,03/08/2024,2:50:02,10202,"@ ""he is guided by an ever-present knowledge of his limitations and of his power. "" really incredible reflection about world leaders.",4,positive,0.85,1,340
"wow .. this conversation really is shocking. are they really thaaaat hardcore ignorant when it comes to the rest of the world?
1:30:00 .. what both are saying simply is complete nonsense and so ignorant .. its really shocking!",2,0,03/12/2024,1:30:00,5400,wow .. this conversation really is shocking. are they really thaaaat hardcore ignorant when it comes to the rest of the world? .. what both are saying simply is complete nonsense and so ignorant .. its really shocking!,4,negative,0.93,-1,180
1:29:30 the current party is the succesor of Svoboda which was a neo-nazi movement.,2,0,02/27/2024,1:29:30,5370,the current party is the succesor of svoboda which was a neo-nazi movement.,4,negative,0.75,-1,179
"9:23, do you also hear the ""disinformation""? 🤔",2,0,02/27/2024,9:23,563,", do you also hear the ""disinformation""? 🤔",4,neutral,0.83,0,18
"What the hell is TC talking about when he says a small group of people in Washington decided to have the war in Ukraine?
10:00",2,0,03/10/2024,10:00,600,what the hell is tc talking about when he says a small group of people in washington decided to have the war in ukraine?,4,negative,0.83,-1,20
"1:33:00 Well, you missed the point altogether, you both did. It was stated EXTREMELY CLEARLY: denazification is to stop making nazists national HEROES, stop banning mother tongue of the people (Russian, not Ukrainian).",2,0,03/11/2024,1:33:00,5580,"well, you missed the point altogether, you both did. it was stated extremely clearly: denazification is to stop making nazists national heroes, stop banning mother tongue of the people (russian, not ukrainian).",4,negative,0.84,-1,186
"1:31:52 ну я бы поспорил, сколько бы там нацистов не было, памятники бандере ставили с одобрением государства и улици в честь него называли и они и остались, а этот человек служил гитлеру в украинской ссср и убивал поляков, евреев и тех же украинцев, этого уже хватает, чтобы заявить что в Украине нациский режим, так как государство поддерживает его",2,0,01/11/2025,1:31:52,5512,"ну я бы поспорил, сколько бы там нацистов не было, памятники бандере ставили с одобрением государства и улици в честь него называли и они и остались, а этот человек служил гитлеру в украинской ссср и убивал поляков, евреев и тех же украинцев, этого уже хватает, чтобы заявить что в украине нациский режим, так как государство поддерживает его",4,neutral,0.81,0,183
2:56:20 is why Tucker Carlson is a force for good. He may be wrong on some of his politics and views. But there is one purpose for Man in this life.,2,0,02/28/2024,2:56:20,10580,is why tucker carlson is a force for good. he may be wrong on some of his politics and views. but there is one purpose for man in this life.,4,positive,0.6,1,352
"Galatians 5:13 For, brethren, ye have been called unto liberty; only use not liberty for an occasion to the flesh, but by love serve one another.",2,0,02/29/2024,5:13,313,"galatians for, brethren, ye have been called unto liberty; only use not liberty for an occasion to the flesh, but by love serve one another.",4,positive,0.57,1,10
1:25:49 zelensky is a crook not a hero,2,0,02/29/2024,1:25:49,5149,zelensky is a crook not a hero,4,negative,0.82,-1,171
"1:32:50
Words to live by!
True wisdom, rarely known",2,0,02/29/2024,1:32:50,5570,"words to live by! true wisdom, rarely known",4,positive,0.94,1,185
"1:29:40 Tucker grossly historically inaccurate. There were plenty of non-german Nazis. (Including ukranian ones, like Stepan Bandera, for example).",2,0,02/29/2024,1:29:40,5380,"tucker grossly historically inaccurate. there were plenty of non-german nazis. (including ukranian ones, like stepan bandera, for example).",4,negative,0.84,-1,179
"""I think that was a dumbest think i've ever heard""(c) Tucker Carlson about putin's blabber 

1:29:16

Bhahahahahaha )))))))))))) Hilarous!",2,0,02/29/2024,1:29:16,5356,"""i think that was a dumbest think i've ever heard""(c) tucker carlson about putin's blabber bhahahahahaha )))))))))))) hilarous!",4,negative,0.82,-1,178
"A subjective summary: T admits he is kind of stupid though I suspect he isn’t fully believing it - his laughs give that some semblance - he changes his version of things during the same conversation - he says some truths - but to state that Russia and Ukraine have the same culture is an admission of ignorance. I managed 1:55, then shut it down",2,0,02/28/2024,1:55,115,"a subjective summary: t admits he is kind of stupid though i suspect he isn’t fully believing it - his laughs give that some semblance - he changes his version of things during the same conversation - he says some truths - but to state that russia and ukraine have the same culture is an admission of ignorance. i managed , then shut it down",4,negative,0.73,-1,3
"Navalny dies: we just don't know what happened, maybe they killed him, maybe we did, who knows... it would be stupid from Russia to do it while conference in Munich, and they didn't strike me as stupid.

Dugina dies: killed by Ukraine.

Those 2 examples are pretty much all you need to know to see how biased Tucker is. 

To see how clueless he is, we have this at about 11:20 in the video.. ~""Russia has more war industrial capacity than NATO combined""  😂😁😂😁😂😁",2,0,02/29/2024,11:20,680,"navalny dies: we just don't know what happened, maybe they killed him, maybe we did, who knows... it would be stupid from russia to do it while conference in munich, and they didn't strike me as stupid. dugina dies: killed by ukraine. those 2 examples are pretty much all you need to know to see how biased tucker is. to see how clueless he is, we have this at about in the video.. ~""russia has more war industrial capacity than nato combined"" 😂😁😂😁😂😁",4,negative,0.82,-1,22
1:37:28 you just know he talking about kanye,2,0,02/28/2024,1:37:28,5848,you just know he talking about kanye,4,neutral,0.88,0,194
"Every moment matters.  Some are really delicious;  you just never know when they may come up.  I think there some very good ones in the three digit minutes of this exchange.

❤thank you both!

My favorite ones about humility around 2:46ish",2,0,02/28/2024,2:46,166,every moment matters. some are really delicious; you just never know when they may come up. i think there some very good ones in the three digit minutes of this exchange. ❤thank you both! my favorite ones about humility around 2:46ish,4,positive,0.98,1,5
"Lex Fridman, thank you very much for your kind words about Ukraine on 58:05 from Odesa",2,0,02/29/2024,58:05,3485,"lex fridman, thank you very much for your kind words about ukraine on from odesa",4,positive,0.93,1,116
1:02:45 in terms of the quality of public space and the standard of living Moscow and Petersburg are way better than the Russian countryside. He should have filmed there - that would show the real picture.,2,0,02/29/2024,1:02:45,3765,in terms of the quality of public space and the standard of living moscow and petersburg are way better than the russian countryside. he should have filmed there - that would show the real picture.,4,positive,0.54,1,125
"1:33 когда в Канаде Зеленский стоя аплодировал нацисту, это можно считать почитанием нацизма президентом Украины?",2,0,03/09/2024,1:33,93,"когда в канаде зеленский стоя аплодировал нацисту, это можно считать почитанием нацизма президентом украины?",4,neutral,0.81,0,3
50:40 This type of intellectual sparring is what actracted us all to youtube.. throwing ideas off of each other and allowing our thought process to decide who makes more sense.. absolutely loving this conversation up until this point..,2,0,02/28/2024,50:40,3040,this type of intellectual sparring is what actracted us all to youtube.. throwing ideas off of each other and allowing our thought process to decide who makes more sense.. absolutely loving this conversation up until this point..,4,positive,0.95,1,101
